Product Name,Review Text,Rating,Review Date,Reviewer Name
Apple iPhone 14 (128 GB) - Blue,Excellent camera quality and battery life. Highly recommended!,5.0,Reviewed in India on 23 June 2026,Amit Kumar
Apple iPhone 14 (128 GB) - Blue,"The phone is great, but the charging speed is a bit slow compared to Android devices.",4.0,Reviewed in India on 20 June 2026,Neha Sharma
Apple iPhone 14 (128 GB) - Blue,Battery drains too fast. Not worth the high price.,2.0,Reviewed in India on 21 June 2026,Rahul Verma
Apple iPhone 14 (128 GB) - Blue,Value for money product. Premium look and feel.,5.0,Reviewed in India on 20 June 2026,Priya Patel
Apple iPhone 14 (128 GB) - Blue,Average performance. Nothing spectacular over the iPhone 13.,3.0,Reviewed in India on 15 June 2026,Siddharth Sen
Apple iPhone 14 (128 GB) - Blue,"Decent phone, but screen refresh rate is still 60Hz. Disappointed.",3.0,Reviewed in India on 18 June 2026,Vikram Singh
Apple iPhone 14 (128 GB) - Blue,Superb display and very fast performance. The A15 chip is still a beast.,5.0,Reviewed in India on 17 June 2026,Anjali Gupta
Apple iPhone 14 (128 GB) - Blue,Face ID works perfectly. iOS is smooth.,5.0,Reviewed in India on 16 June 2026,Rohan Das
Apple iPhone 14 (128 GB) - Blue,"Sleek design, but extremely expensive accessories.",4.0,Reviewed in India on 07 June 2026,Shweta Tiwari
Apple iPhone 14 (128 GB) - Blue,Worst experience. Phone got heated up within 10 minutes of gaming.,1.0,Reviewed in India on 27 May 2026,Kunal Kapoor
Echo Dot (3rd Gen) - Smart speaker with Alexa,Very useful smart speaker. Sound is good for a small room.,4.0,Reviewed in India on 07 June 2026,Deepak R.
Echo Dot (3rd Gen) - Smart speaker with Alexa,Alexa sometimes doesn't understand Indian accent. Otherwise good.,3.0,Reviewed in India on 05 June 2026,Karan Johar
Echo Dot (3rd Gen) - Smart speaker with Alexa,Absolutely love it! Best budget smart speaker.,5.0,Reviewed in India on 03 June 2026,Meera Bai
Echo Dot (3rd Gen) - Smart speaker with Alexa,Speaker quality could have been better. Bass is flat.,3.0,Reviewed in India on 29 May 2026,Suresh Raina
Echo Dot (3rd Gen) - Smart speaker with Alexa,Connecting to Wi-Fi is a nightmare. Keeps disconnecting.,2.0,Reviewed in India on 30 May 2026,Vijay Malhotra
Echo Dot (3rd Gen) - Smart speaker with Alexa,My kids love asking questions to Alexa. Great educational tool.,5.0,Reviewed in India on 02 June 2026,Sunita Rao
Echo Dot (3rd Gen) - Smart speaker with Alexa,Excellent integration with my smart home lights.,5.0,Reviewed in India on 26 May 2026,Rajesh Nair
Echo Dot (3rd Gen) - Smart speaker with Alexa,"Too small, volume is low. Go for Echo Plus if you want loud music.",3.0,Reviewed in India on 17 May 2026,Preeti Sen
Echo Dot (3rd Gen) - Smart speaker with Alexa,Very useful smart speaker. Sound is good for a small room.,4.0,Reviewed in India on 30 May 2026,Deepak R.
Echo Dot (3rd Gen) - Smart speaker with Alexa,Alexa sometimes doesn't understand Indian accent. Otherwise good.,3.0,Reviewed in India on 29 May 2026,Karan Johar
"Apple iPhone 15 (Black, 128 GB)",Superb phone! The Dynamic Island is amazing and the camera quality is top-notch.,5.0,27 days ago,Suresh Kumar
"Apple iPhone 15 (Black, 128 GB)",Battery backup is average. Charges slowly with standard chargers.,3.0,28 days ago,Vijay Pal
"Apple iPhone 15 (Black, 128 GB)","Great display, super smooth transition, but the price is a bit high.",4.0,1 month ago,Aditya Singh
"Apple iPhone 15 (Black, 128 GB)","Moved from Android to iOS, taking time to adjust but the device is premium.",5.0,1 month ago,Sneha Patel
"Apple iPhone 15 (Black, 128 GB)","The camera zoom could be better, but portrait mode is wonderful.",4.0,1 month ago,Rohan Deshmukh
"Apple iPhone 15 (Black, 128 GB)",No charger in the box. Apple is charging too much for basic items.,3.0,1 month ago,Karan Sharma
"Apple iPhone 15 (Black, 128 GB)",A perfect phone for photography lovers. Highly recommended!,5.0,1 month ago,Priya Sharma
"Apple iPhone 15 (Black, 128 GB)",Fabulous design and colors. USB-C port is finally here!,5.0,1 month ago,Rajesh Gupta
"Apple iPhone 15 (Black, 128 GB)",Superb phone! The Dynamic Island is amazing and the camera quality is top-notch.,5.0,1 month ago,Suresh Kumar
"Apple iPhone 15 (Black, 128 GB)",Battery backup is average. Charges slowly with standard chargers.,3.0,1 month ago,Vijay Pal
"Motorola G34 5G (Ice Blue, 128 GB)",Best 5G phone under budget. Super smooth 120Hz display.,5.0,29 days ago,Manish Kumar
"Motorola G34 5G (Ice Blue, 128 GB)","Camera is below average, especially in low light. Performance is decent.",3.0,1 month ago,Nisha Patel
"Motorola G34 5G (Ice Blue, 128 GB)","Very clean software experience, zero bloatware! Battery backup is excellent.",5.0,1 month ago,Vikram Singh
"Motorola G34 5G (Ice Blue, 128 GB)",Heating issue during heavy gaming. Normal usage is fine.,3.0,1 month ago,Sandeep K.
"Motorola G34 5G (Ice Blue, 128 GB)",Sound output is decent. The design looks premium for this price range.,4.0,1 month ago,Anil Verma
"Motorola G34 5G (Ice Blue, 128 GB)",Superb value for money. Highly recommend to budget buyers.,5.0,1 month ago,Jitendra Pal
"Motorola G34 5G (Ice Blue, 128 GB)",Best 5G phone under budget. Super smooth 120Hz display.,5.0,1 month ago,Manish Kumar
"Motorola G34 5G (Ice Blue, 128 GB)","Camera is below average, especially in low light. Performance is decent.",3.0,1 month ago,Nisha Patel
"Motorola G34 5G (Ice Blue, 128 GB)","Very clean software experience, zero bloatware! Battery backup is excellent.",5.0,1 month ago,Vikram Singh
"Motorola G34 5G (Ice Blue, 128 GB)",Heating issue during heavy gaming. Normal usage is fine.,3.0,1 month ago,Sandeep K.
